,HIVincidence
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,6.0
1973,75.9
1974,9.9
1975,0.0
1976,0.0
1977,0.0
1978,24.0
1979,0.0
1980,5.6
1981,0.0
1982,0.0
1983,0.0
1984,16.3
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,4.7
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,3.2
1997,6.1
1998,0.0
1999,20.9
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,6.9
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,45.8
2011,90.7
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,5.3
2020,0.0
2021,0.0
2022,32.8
2023,0.0
2024,7.8
2025,0.0
2026,0.0
2027,7.4
2028,0.0
2029,0.0
2030,8.7
2031,0.0
2032,15.3
2033,0.0
2034,0.0
2035,43.4
2036,0.0
2037,0.0
2038,0.0
2039,0.0
2040,0.0
2041,0.0
2042,11.8
2043,0.0
2044,0.0
2045,0.0
2046,7.3
2047,8.7
2048,0.0
2049,0.0
2050,0.0
2051,0.0
2052,18.0
2053,0.0
2054,0.0
2055,0.0
2056,0.0
2057,0.0
2058,51.4
2059,0.0
2060,0.0
2061,29.5
2062,0.0
2063,0.0
2064,0.0
2065,0.0
2066,14.6
2067,14.3
2068,0.0
2069,0.0
2070,0.0
2071,7.9
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,40.8
2086,0.0
2087,0.0
2088,17.9
2089,13.6
2090,0.0
2091,7.4
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,8.0
2099,10.9
2100,0.0
2101,4.9
2102,0.0
2103,0.0
2104,0.0
2105,44.0
2106,0.0
2107,0.0
2108,11.300000000000002
2109,0.0
2110,0.0
2111,0.0
